78.75 240 6,0.07744252875862069 0.01755932894107893 0.03971512410344827 0.009505609429876511
73.5 30 6,0.028735632103448275 0.02432874776723591 0.014880159551724136 0.013296601416681599
52.5 240 6,0.1405172413448276 0.02260820481324846 0.07406616324137931 0.012855577893229398
5.25 240 6,0.815948275862069 0.02533466060680171 0.6699336866896553 0.04767772935648909
73.5 150 6,0.06459770117241381 0.0180338929657483 0.033388931999999996 0.010067694367128255
5.25 60 6,0.7287356321724137 0.053765588743393926 0.5615307788965516 0.09034672288067544
36.75 150 6,0.20022988506896552 0.03134202664773983 0.10902627641379309 0.021047971373644402
31.5 30 6,0.0862068965862069 0.03663764915717577 0.04581305868965517 0.02201077195510106
10.5 30 6,0.3908045976896553 0.07921867095383447 0.2380572402758621 0.0714143641604034
31.5 300 6,0.355862069 0.03131419285875912 0.20883088227586205 0.0262337089103913
36.75 30 6,0.07471264379310345 0.03114072910464652 0.03955203679310344 0.01925426179520326
5.25 120 6,0.7709770114827585 0.037371791662283854 0.6051121592758619 0.06512536453450898
42.0 120 6,0.14597701148275863 0.028836031552365082 0.07725062979310343 0.017437875474595934
78.75 150 6,0.05862068965517242 0.016271575455383474 0.030224734620689656 0.009192194257063547
15.75 240 6,0.5800287356896552 0.027232223630431672 0.395932371 0.02811162304543949
15.75 60 6,0.3591954023103448 0.060265410192107176 0.212761855586207 0.04489298501655719
52.5 120 6,0.1040229885172414 0.023531658189446265 0.0544249712413793 0.014434021412144263
36.75 60 6,0.10172413796551724 0.0313626750425367 0.05329033979310344 0.017074311188717932
26.25 60 6,0.17816091955172417 0.04695792697905119 0.09610803610344827 0.02572366630816447
63.0 300 6,0.11413793110344829 0.012553492401338831 0.05907166406896551 0.006866357081067516
52.5 300 6,0.15885057472413797 0.016289428591392027 0.0840103325862069 0.010113658092079982
26.25 300 6,0.437471264310345 0.030571255582967867 0.26978128713793104 0.029186511685801043
63.0 60 6,0.04482758606896553 0.01862281821486672 0.023171737310344834 0.010333482767016013
78.75 300 6,0.07666666672413794 0.01203443344224655 0.03904025965517242 0.00643116002771399
26.25 240 6,0.40100574706896547 0.03583726202384656 0.24084339265517238 0.031120453881249982
42.0 30 6,0.06091954031034484 0.031645746954848376 0.03177150744827586 0.018329071320664907
42.0 300 6,0.2285057470689655 0.024441441565558608 0.12524659675862065 0.016737491883455993
78.75 120 6,0.05488505751724139 0.015243433528415963 0.028116679206896554 0.008685405283432148
78.75 60 6,0.03275862072413792 0.01546393560085552 0.016659003 0.008118986929556914
31.5 120 6,0.22155172413793106 0.03220186285240778 0.12103203993103447 0.02344125466318706
15.75 150 6,0.5287356321724139 0.0355408543911764 0.34459716993103445 0.03440018093960642
5.25 150 6,0.7885057471379311 0.029602555104090458 0.6283999646896553 0.059243773141134465
31.5 240 6,0.3191091954137931 0.032598165188028216 0.18325996220689653 0.02429982309828508
73.5 120 6,0.06379310344827586 0.017816091911012237 0.03280685313793103 0.010229547995294654
52.5 60 6,0.061494252896551735 0.025932216589537115 0.031657934310344825 0.013363391230792469
21.0 300 6,0.5160919540344826 0.02666765748639847 0.33764917417241375 0.030400244690278837
52.5 150 6,0.11195402299999999 0.026049131889561355 0.058885100482758634 0.015325522281589319
10.5 150 6,0.6379310345172414 0.03848086343024153 0.4536313471034482 0.0463345748357104
36.75 120 6,0.1801724137241379 0.026116247802721773 0.0966062284137931 0.017847189086436524
10.5 300 6,0.7049425287586207 0.029290730356136205 0.5283135946896551 0.03702298507189203
73.5 60 6,0.035632183862068956 0.01621463895727349 0.01820392068965517 0.008508419500031396
42.0 240 6,0.20531609196551728 0.0290101826558809 0.11147543165517244 0.01790698267641925
21.0 240 6,0.4955459770344828 0.03553994841108372 0.31597476934482754 0.03138923687205558
26.25 120 6,0.2959770114482758 0.03997249347689241 0.16742514134482764 0.030411215388889974
21.0 60 6,0.24367816089655173 0.04921097608080141 0.13592357248275863 0.03222266406319814
15.75 120 6,0.498850574689655 0.0448349536988729 0.3164222887931035 0.03937236191598244
15.75 30 6,0.23103448272413796 0.05319740903485991 0.13009061031034483 0.04039211855591387
21.0 30 6,0.14942528727586205 0.049224397993019024 0.08085418517241379 0.032588296865666444
5.25 30 6,0.6931034482068965 0.08367942399072 0.527965644137931 0.10811627754387247
42.0 150 6,0.1622988505862069 0.028081756047072217 0.0871227337586207 0.018230436155281575
5.25 300 6,0.8247126435517239 0.019466391992127734 0.6849994964827587 0.041648437821194755
42.0 60 6,0.083908046 0.030160096013734268 0.043529825344827584 0.015530891763344866
73.5 240 6,0.0853448276551724 0.019896183231064457 0.04393907448275864 0.010930734201813725
10.5 240 6,0.6823275862068965 0.027084000358138675 0.5024774663103448 0.037099761822070275
15.75 300 6,0.6022988505517242 0.028729194652383737 0.4199426527586207 0.028940224945966053
78.75 30 6,0.028735632103448275 0.02432874776723591 0.014880159551724136 0.013296601416681599
63.0 30 6,0.03563218379310344 0.027586206975574717 0.0187879544137931 0.016433907279889932
52.5 30 6,0.04367816089655173 0.030454347935960118 0.02274890955172413 0.017531532091628946
21.0 150 6,0.42321839086206886 0.0439303067935064 0.25705165593103446 0.03568856364743856
31.5 60 6,0.13218390803448274 0.040098307046504744 0.06980860051724137 0.020694785844088355
63.0 150 6,0.083678161 0.02105174829360892 0.043554952793103445 0.012150282936281637
10.5 60 6,0.5068965516896551 0.05297965372566653 0.3282042829310345 0.0573955033564672
63.0 240 6,0.10646551724137936 0.02042959969031229 0.055307364413793116 0.011572195255888252
31.5 150 6,0.24827586213793104 0.03455930198056001 0.13788265831034482 0.023045417208953388
73.5 300 6,0.08666666668965516 0.01197058973250948 0.044333875517241376 0.0065551556617363844
36.75 240 6,0.25574712651724146 0.03244900567158437 0.142480113862069 0.022658535398373918
10.5 120 6,0.6163793103448276 0.03996422958670968 0.42741406072413796 0.04616618265672005
36.75 300 6,0.2851724137586207 0.029485839238575492 0.16099977179310349 0.021654906074427594
26.25 30 6,0.11034482758620687 0.04207587402730742 0.0591393805862069 0.02627468795139621
26.25 150 6,0.3213793103448276 0.03593861558193125 0.18519860506896546 0.029211708245643033
63.0 120 6,0.07787356324137933 0.02102223120403441 0.04020840334482757 0.011808718969259249
21.0 120 6,0.386781609137931 0.04319148104628498 0.22948628703448273 0.035749967509329954
