78.75 240 6,0.07861111111111109 0.017929043959005474 0.04056106844336753 0.009832587704828113
73.5 30 6,0.027777777777777776 0.02446968393949471 0.014384154249809551 0.01334319698022762
52.5 240 6,0.14208333333333328 0.025123537362991492 0.0753444131594694 0.014580121754690253
5.25 240 6,0.8159722222222222 0.022102542309499387 0.6722769472104212 0.04612848552783606
73.5 150 6,0.06599999999999999 0.0217289702505238 0.03430527754292991 0.011953152670205441
5.25 60 6,0.7261111111111112 0.055724742382358736 0.5656323072233312 0.09082517233981316
36.75 150 6,0.20044444444444445 0.03112380693335395 0.10967390408646302 0.020874470431280327
31.5 30 6,0.08333333333333334 0.03824869884013002 0.04464800257746669 0.02237918504957643
10.5 30 6,0.38444444444444464 0.07588164923983944 0.23817371727571016 0.07034551091042414
31.5 300 6,0.35955555555555563 0.03136090197745445 0.21229611338853185 0.02641358301160127
36.75 30 6,0.07222222222222222 0.03229875967499696 0.038595681423955 0.019443059367571434
5.25 120 6,0.7722222222222223 0.03589679995366691 0.6109730745105025 0.06572819707506827
42.0 120 6,0.14472222222222222 0.029065963718988917 0.0771381196570391 0.01755872878948109
78.75 150 6,0.060222222222222226 0.01988733699718256 0.031196330441264634 0.010852450935438043
15.75 240 6,0.5812499999999999 0.02656556354882515 0.3985223417888463 0.027791000026045416
15.75 60 6,0.35722222222222216 0.06065740670070162 0.21417117197825697 0.043808732761453376
52.5 120 6,0.10305555555555558 0.02322228867614096 0.054211031700800924 0.014221684137584253
36.75 60 6,0.09833333333333334 0.0323035372446814 0.052018144848455204 0.0174524795726785
26.25 60 6,0.17611111111111113 0.04785845900951505 0.09597769577999546 0.025680846493534408
63.0 300 6,0.11544444444444449 0.013996913239958072 0.06006719655760754 0.00799077088924329
52.5 300 6,0.1597777777777778 0.017254807882492586 0.08493773803021952 0.01075320821418222
26.25 300 6,0.44044444444444447 0.030119924909322228 0.27329272035684604 0.029149489589495807
63.0 60 6,0.043888888888888915 0.018500917561496355 0.022921793723543245 0.010211356376325437
78.75 300 6,0.0782222222222222 0.012344839477627687 0.04004403158757876 0.006660940089867115
26.25 240 6,0.4054166666666667 0.03681708414832963 0.24507319080678308 0.03143441611190589
42.0 30 6,0.05777777777777779 0.03212629398844658 0.030300229814384134 0.018282284912656984
42.0 300 6,0.23077777777777778 0.024155105791580984 0.12729068352851344 0.017260814063526916
78.75 120 6,0.05527777777777778 0.01482667349453613 0.02842187468110777 0.008248394675634561
78.75 60 6,0.031666666666666676 0.015122952876462446 0.01631290700747994 0.008012360367495096
31.5 120 6,0.22222222222222224 0.03222701113838484 0.12229333106612619 0.02331404274348335
15.75 150 6,0.5264444444444444 0.036615452448722954 0.34493492844843676 0.03514519719005481
5.25 150 6,0.7875555555555555 0.02648456340522592 0.6326171676738503 0.058330603981018414
31.5 240 6,0.32333333333333325 0.03362029259352266 0.18690621608004682 0.025661682099600056
73.5 120 6,0.06333333333333334 0.016887426837300736 0.03272955459579534 0.009760888184729125
52.5 60 6,0.060000000000000026 0.02638742686008426 0.03112515077521961 0.013420087964510378
21.0 300 6,0.5173333333333333 0.027112932543550336 0.3404697241645692 0.030747860930797836
52.5 150 6,0.1142222222222222 0.028943538053626545 0.060423436757572384 0.016775038498551182
10.5 150 6,0.638222222222222 0.03715566188182554 0.45677229750160725 0.045345354159269026
36.75 120 6,0.1797222222222222 0.025429944922579606 0.09711632761986329 0.01760142519344117
10.5 300 6,0.7097777777777776 0.026997027728489657 0.5352273440105159 0.03547467412672642
73.5 60 6,0.03500000000000002 0.015723301886761007 0.018119570907643198 0.008332168978380626
42.0 240 6,0.20763888888888887 0.029757572436002744 0.11342473455900119 0.018825191177423154
21.0 240 6,0.4979166666666666 0.03630423784057703 0.31926530150802374 0.031739740770373545
26.25 120 6,0.29527777777777775 0.039245389758339126 0.16820987229235532 0.029931087992992312
21.0 60 6,0.24222222222222223 0.050686643235364634 0.13663175901818927 0.03210045713759639
15.75 120 6,0.49611111111111106 0.04527351718195408 0.31657366774072454 0.038917363740497514
15.75 30 6,0.2288888888888889 0.056262172894098496 0.1304031209486141 0.04060011141705206
21.0 30 6,0.14555555555555552 0.051267875533597004 0.07961328432522606 0.03273734051331376
5.25 30 6,0.6877777777777777 0.08276845585094975 0.534006783734432 0.10827666074854231
42.0 150 6,0.16355555555555557 0.028789572872358483 0.08820889773236912 0.018275815746688316
5.25 300 6,0.8267777777777777 0.01838846928020753 0.6892681973802696 0.040947377138726086
42.0 60 6,0.08222222222222222 0.02916534388534819 0.04315675791798214 0.015220577139841478
73.5 240 6,0.08611111111111111 0.02030819636270471 0.044602337932567356 0.011243613017450771
10.5 240 6,0.6861111111111111 0.02801977916921113 0.5087007184112741 0.036857571378233936
