29.4 210 3,0.5500768049155146 0.03546757527413041 0.3604643083771936 0.03505176137678719
14.7 504 3,0.7709933435739887 0.020765556696171618 0.6018596928736033 0.03266056288726244
29.4 504 5,0.4891833077316948 0.02190287132350107 0.30934952602697013 0.025091946048116993
29.4 168 6,0.29512288786482327 0.03634159123691245 0.1681105040057627 0.02689163143239498
44.1 210 6,0.18172043010752692 0.03147315122968234 0.09785817770743375 0.01925419117487857
29.4 630 6,0.5045058883768561 0.022262770314821188 0.32102461764254153 0.024829498255351745
73.5 336 3,0.25739247311827956 0.028384716262293306 0.15392261438779914 0.020974607630385833
29.4 630 4,0.5697388632872502 0.021038379129148535 0.3750271547136983 0.02557796886125422
29.4 336 8,0.41109831029185867 0.030084104027164195 0.2485310292239813 0.027157628248129208
73.5 168 8,0.0771889400921659 0.019740880433909182 0.03983811793706592 0.010690522263858098
14.7 504 4,0.7091653865847413 0.017687610458134703 0.5293871698066597 0.028072926061106812
73.5 504 3,0.36136712749615973 0.0350203604987112 0.2172950913880049 0.024971973542860987
14.7 336 4,0.668010752688172 0.02111043915831031 0.4849805967777813 0.030618484684933445
29.4 168 7,0.293778801843318 0.03576380294529589 0.16711967000797956 0.026200167643727387
44.1 210 5,0.1841781874039939 0.032621028716997576 0.09948280054287825 0.02004589130763394
29.4 210 8,0.3307219662058372 0.035652044272539096 0.19130251418462252 0.02779383239332018
73.5 504 5,0.12896825396825395 0.016197715819616782 0.06494926199336408 0.009410953910646868
14.7 168 4,0.5946620583717358 0.037808384980234894 0.4060970043715364 0.03640760270843166
73.5 420 6,0.11397849462365592 0.01432077029391526 0.05771299960586639 0.008005153066439966
14.7 504 2,0.8402457757296466 0.01767394052968359 0.7159549563465456 0.043216050531368885
73.5 504 4,0.16634664618535583 0.019197815023366812 0.0890155313154377 0.011741177823911415
14.7 630 3,0.7812596006144393 0.01979428889379079 0.6178062243545204 0.03126236951947423
14.7 420 3,0.7613671274961599 0.02435406241299692 0.5876041900551147 0.035319130637930386
29.4 504 4,0.5382104454685102 0.024451407752576898 0.3490764846977027 0.02772289339755947
14.7 168 8,0.564900153609831 0.03504737142360326 0.3787239084197515 0.030296757550151234
44.1 168 7,0.16244239631336402 0.026713871412348204 0.08707048734983351 0.0173229742550877
14.7 630 4,0.7300051203277008 0.017045077949053303 0.5522135756093473 0.027614795578767837
14.7 210 4,0.6192012288786479 0.03282437581099861 0.4320431857400287 0.036343186963817053
44.1 168 8,0.16263440860215048 0.026593528700073636 0.08716789753897647 0.01718115863671775
73.5 420 8,0.11336405529953918 0.014152959966835589 0.05734456212440595 0.007976717658767873
29.4 336 3,0.613863287250384 0.026950209000802992 0.419595450610719 0.02990439704794838
73.5 504 2,0.6424091141833078 0.026827567183817503 0.455955935603603 0.0336677880039255
14.7 336 5,0.6450652841781876 0.02407171001136213 0.46243199233263604 0.028072084212324874
29.4 420 8,0.4480798771121352 0.025880863386291666 0.2763185812615054 0.02575152826362909
44.1 504 4,0.3914490527393753 0.0272385372039942 0.2306036251427661 0.022710964397866684
14.7 336 7,0.6323924731182796 0.025104826582056962 0.45139197445925044 0.027700419024091465
14.7 168 5,0.5689324116743472 0.03328852985064414 0.3823556300258455 0.03014835314271436
73.5 630 4,0.21280081925243216 0.022075204867944356 0.11325901419372718 0.013709263869955964
73.5 210 3,0.1674347158218126 0.029281918108299547 0.0984868356584985 0.020608833698645065
44.1 420 6,0.2722734254992319 0.022356168150409538 0.15034313112065512 0.016701670575214374
14.7 630 2,0.8437275985663083 0.015240008358727465 0.7262036776801044 0.03826004877967719
29.4 336 2,0.7780337941628264 0.02728534485169941 0.6112463842537714 0.04508628021340659
14.7 420 2,0.8380184331797236 0.02158996967667965 0.7076382739423008 0.04794973288334894
44.1 504 7,0.29685099846390167 0.0251362592254214 0.16483484255493824 0.019622916572319734
44.1 168 6,0.16244239631336402 0.026151763578871424 0.08705382034818479 0.01690973484582411
29.4 210 7,0.3308755760368664 0.03561164909447542 0.19137641044337814 0.027790240755212414
