63.0 240 5,0.059935897461538476 0.010967909317467333 0.030671900923076922 0.006158431292212583
63.0 60 5,0.03653846146153846 0.013882312712437034 0.018275909923076924 0.00729642996519464
42.0 60 5,0.04551282050000001 0.017636944302310817 0.02301534084615384 0.009561689681290229
52.5 60 5,0.03782051273076923 0.01823264443771059 0.019037000769230768 0.009843763940201531
21.0 150 5,0.2010256410384616 0.025533106147119126 0.10957333446153845 0.016750771410320994
15.75 60 5,0.1423076923076923 0.034353233326336274 0.07674880957692307 0.01847946187318163
21.0 240 5,0.28637820515384615 0.03328437296693112 0.16164145700000002 0.02351037990916778
10.5 120 5,0.4442307692307691 0.019716098097610713 0.26747141965384613 0.02916471340947813
52.5 150 5,0.05794871800000001 0.016410256375 0.02980373473076923 0.009327388590029288
15.75 120 5,0.2589743588846154 0.036244884456662185 0.14532177488461537 0.025856768960138256
26.25 300 5,0.23384615376923076 0.027853283299911727 0.1293017710384615 0.01810056091557138
78.75 150 5,0.037179487230769234 0.013980826511362926 0.01878969573076924 0.007732007008789398
21.0 30 5,0.07051282057692308 0.03111451576919703 0.03693029023076923 0.017821156656595536
10.5 150 5,0.4987179486538462 0.02717585840543627 0.30594781253846143 0.030786934835287934
78.75 30 5,0.02179487161538462 0.018356180760811948 0.010860296423076924 0.009431821191845505
78.75 120 5,0.03205128200000001 0.012594155532100297 0.015943053961538462 0.006360530015919848
52.5 300 5,0.08102564103846155 0.01015980140791432 0.04183365623076923 0.006482729519799527
31.5 60 5,0.0538461538076923 0.024594007878691645 0.027504074884615384 0.012743825458461764
36.75 60 5,0.04871794876923078 0.022609220685956832 0.025054810807692316 0.012782610914026363
52.5 240 5,0.07179487173076922 0.013834129282785403 0.037083770615384606 0.0077724466359872565
36.75 150 5,0.08974358984615384 0.019146825323976057 0.046248392346153855 0.009550154361488825
42.0 30 5,0.041025640961538455 0.02820512832867133 0.020726727961538467 0.01425043848519439
36.75 300 5,0.12974358973076924 0.014789782685810202 0.06920843607692308 0.009904487501414696
21.0 120 5,0.16570512823076922 0.027670115162568374 0.08932742357692311 0.01830052766643435
10.5 30 5,0.16666666665384622 0.05229763600416305 0.09211349992307691 0.03264935932916267
78.75 300 5,0.043974358923076926 0.00691951469607453 0.02224468611538461 0.004079351331377756
15.75 300 5,0.46538461534615383 0.028942573944767302 0.2808019226153846 0.02753918350675291
42.0 150 5,0.07487179476923077 0.017177573557791377 0.03851264161538462 0.009300563044120738
63.0 150 5,0.04769230773076924 0.013548558824450385 0.02430288961538461 0.007644347661628724
42.0 240 5,0.09086538457692307 0.01443464634001728 0.04775937684615384 0.009537017882812365
73.5 120 5,0.03621794873076923 0.012647063854392486 0.018130096576923084 0.006791283666007644
5.25 300 5,0.8119230769999999 0.01993950410824804 0.5965883129230769 0.04163656774850473
26.25 30 5,0.07179487176923077 0.03777158946279192 0.03775599457692308 0.022223758207693612
63.0 30 5,0.025641025538461537 0.02321893629127649 0.012609816730769228 0.011525075395393573
31.5 30 5,0.047435897423076925 0.03090248931597153 0.02452390061538462 0.018129839575429893
5.25 60 5,0.5532051282307691 0.046459989013049735 0.3527789306923077 0.06456280199352162
73.5 150 5,0.03794871792307692 0.012912490598828166 0.019242889730769222 0.007038241541810124
36.75 120 5,0.07115384626923077 0.020179584980458926 0.03664480973076923 0.010891975085299552
26.25 60 5,0.0762820513846154 0.020761711107068218 0.039340775307692324 0.010451820638065724
63.0 300 5,0.0615384615769231 0.007523795249120648 0.03141611096153846 0.004309285001677165
26.25 150 5,0.1394871794230769 0.027043685899331406 0.07371604000000001 0.014352373395698618
