10.5 240 0,0.6825320512820514 0.029212857900801373 0.542386969180328 0.05398207450916968
42.0 30 0,0.19166666666666662 0.05805795807403577 0.1136363684850976 0.04872431221954745
36.75 150 0,0.36294871794871797 0.0367345167462234 0.23831120017874013 0.031955739421256096
52.5 300 0,0.3423717948717948 0.02210441942953709 0.22525297510593612 0.02101179843589747
42.0 150 0,0.3361538461538463 0.03313649971575496 0.21582399422660592 0.027346902372216812
26.25 30 0,0.2564102564102564 0.07236495277779532 0.15863761040461768 0.05838464101916587
73.5 30 0,0.12884615384615386 0.05509465287852706 0.07126450488577415 0.03668448711718061
52.5 120 0,0.2716346153846154 0.034213523817805694 0.1676716490470535 0.02626990026884616
52.5 240 0,0.3282852564102564 0.021485568017948972 0.21213479046165043 0.020043393305566988
26.25 150 0,0.4314102564102566 0.03200791938494374 0.29394520790974954 0.0347302646632864
63.0 30 0,0.13782051282051289 0.05431344852184682 0.07668833849005602 0.03219978000167167
10.5 120 0,0.6165064102564102 0.037677301107399835 0.471460588490395 0.06745290904189406
10.5 300 0,0.7035897435897436 0.02460670252870065 0.5655195340178 0.049606408931266686
15.75 60 0,0.4378205128205127 0.05774570178767153 0.30014365116166963 0.05809070282479814
10.5 30 0,0.4608974358974361 0.08209884438794271 0.334392668632605 0.10485376759185301
63.0 240 0,0.29503205128205134 0.025013864498708776 0.1876194111347553 0.021111306180114784
15.75 120 0,0.5258012820512821 0.04177101086619397 0.3770254064084523 0.0451316141728297
31.5 240 0,0.4305288461538461 0.025551099319724328 0.2967680637261185 0.02733979654330598
5.25 150 0,0.7691025641025642 0.03446858711492076 0.6293543758644139 0.06911654605694055
31.5 300 0,0.4506410256410255 0.023796128945570406 0.3149105292933314 0.024590438403678635
63.0 300 0,0.3087820512820513 0.02271176552424182 0.19955550487531873 0.019572721478965563
5.25 30 0,0.6051282051282052 0.07717906124765339 0.46123347944676196 0.1120471045567473
42.0 240 0,0.3708333333333333 0.025982304135798426 0.24732913262935002 0.023823321056959456
15.75 150 0,0.5455128205128206 0.03662517824923583 0.39731352397700304 0.04362387078747095
5.25 120 0,0.7512820512820515 0.036190992918705825 0.6076933838102457 0.07229983330059621
73.5 120 0,0.22227564102564104 0.029944801152154563 0.13199988941937432 0.023596338471322996
78.75 30 0,0.12756410256410258 0.05339785914198008 0.07036627907787682 0.035240291356516656
5.25 60 0,0.6855769230769229 0.05137311626028957 0.5363350814294725 0.08723877651669824
26.25 300 0,0.4936538461538463 0.024946606361743555 0.3550683115272635 0.027414045440352624
63.0 150 0,0.26461538461538464 0.034257408245865095 0.16269729678769076 0.02712471249310191
52.5 150 0,0.2953846153846153 0.02671593082590996 0.1845101511590262 0.02254362063062775
31.5 150 0,0.38615384615384624 0.03878157448318899 0.2569791095200292 0.0315376349939688
21.0 120 0,0.4637820512820513 0.03693971090772217 0.3202648539689194 0.04350102433385288
21.0 60 0,0.3910256410256409 0.05424910279906589 0.25742107543451004 0.054904912648837186
5.25 240 0,0.8069711538461538 0.024415183755481722 0.6771769708889691 0.056773677729349256
63.0 120 0,0.2472756410256411 0.035608310824900985 0.1490218426089758 0.02534383109030988
21.0 30 0,0.3115384615384617 0.07507392806131975 0.19904159079718747 0.07359876478019815
21.0 300 0,0.5453846153846155 0.02587076565257321 0.4024971216914792 0.0377879101629738
36.75 240 0,0.39823717948717935 0.02834636476628901 0.27114337622791823 0.03061931452432282
78.75 240 0,0.2529647435897436 0.024190093343348117 0.1566999364986582 0.021957862183829318
15.75 30 0,0.36089743589743595 0.06362320769599676 0.2398733095119468 0.06958849661235139
36.75 120 0,0.3440705128205128 0.04057336588693542 0.2224771685883758 0.03359816744642082
73.5 60 0,0.1631410256410257 0.03980944708961101 0.09184187839993362 0.02594915230135317
10.5 150 0,0.6385897435897435 0.03581377614093096 0.4934865994381389 0.06170174331954335
73.5 240 0,0.26250000000000007 0.024446326170773868 0.16403342249363273 0.02024542324784096
31.5 30 0,0.23012820512820506 0.062449848386085784 0.13643444962821052 0.041818777004745886
42.0 120 0,0.31490384615384615 0.04125879012992114 0.1994794671449071 0.03057501078764468
73.5 300 0,0.2758974358974358 0.020945751916317253 0.17451826418752142 0.01819630833376014
36.75 60 0,0.2701923076923077 0.052433977458423396 0.16684740833723577 0.04069393605415391
78.75 60 0,0.16794871794871796 0.03837597319768145 0.09633522649149404 0.0271140976099311
15.75 240 0,0.587820512820513 0.031477231055966316 0.44129652674607295 0.03987284521918778
52.5 30 0,0.15769230769230774 0.048089741880797565 0.08975039441919265 0.03464574388376947
78.75 120 0,0.2036858974358974 0.03464616093861415 0.12048934987550598 0.02562952981057685
26.25 120 0,0.40881410256410255 0.03781609872111621 0.27411828111641917 0.03876088769645456
52.5 60 0,0.21570512820512822 0.04152713322894241 0.1261182100112787 0.030747033233532853
21.0 240 0,0.5268429487179488 0.02931980700410653 0.38299847571718004 0.03797501258195049
36.75 300 0,0.41871794871794876 0.024842700403007907 0.28858267283338324 0.028084242853604138
26.25 60 0,0.3516025641025642 0.0609100864053238 0.22442412888348826 0.053276648803791654
73.5 150 0,0.2373076923076923 0.025327246751431342 0.1435633434532923 0.021928813128392878
15.75 300 0,0.6062820512820513 0.029108211357653253 0.4615579529870311 0.03614239069417271
21.0 150 0,0.485128205128205 0.03448312815780591 0.34039936929241765 0.041217210215191084
42.0 60 0,0.2516025641025642 0.04555681333553332 0.15279044571669223 0.038636447335199546
36.75 30 0,0.20641025641025637 0.06571060014738205 0.12148741626224133 0.04759420884107775
63.0 60 0,0.18782051282051285 0.03445475551378638 0.10730745651394573 0.022692878119615376
42.0 300 0,0.3851923076923077 0.024982159972604022 0.26071543003651176 0.02346065087500121
78.75 150 0,0.2243589743589744 0.02952283240368537 0.13453848346992656 0.02343118120915237
5.25 300 0,0.8258333333333331 0.02090756007706467 0.6999409826633826 0.05193210509346079
10.5 60 0,0.5461538461538462 0.05898132623281252 0.4013243275390335 0.09027273081128943
78.75 300 0,0.26589743589743586 0.023584865716413887 0.16651263119041737 0.02039936296817377
26.25 240 0,0.47299679487179497 0.029160832573742124 0.3349125020022473 0.029899594536749743
31.5 120 0,0.37003205128205136 0.03724125891907674 0.24118067160068699 0.030519588391004354
31.5 60 0,0.29967948717948717 0.050265362559532865 0.18802878311434096 0.037859192380491014
