29.4 210 3,0.32104454685099854 0.029646299433031816 0.24725160309137711 0.029374826337871536
14.7 504 3,0.6232718894009217 0.017214365442459554 0.5046320696685731 0.03587284595712336
29.4 504 5,0.3568228366615464 0.01973278569810933 0.2678851298702072 0.025127934145723212
29.4 168 6,0.22196620583717352 0.03020762811549976 0.15724037381443595 0.02748932038455621
44.1 210 6,0.1589861751152074 0.02695578998906117 0.11015596580090745 0.021608549643215878
29.4 630 6,0.3776241679467487 0.020892693921284202 0.2799392341550515 0.024381259194100828
73.5 336 3,0.15946620583717355 0.021893611312534766 0.1168056783171353 0.019586481842748873
29.4 630 4,0.408141321044547 0.023299685362245647 0.3087409843135293 0.02440450506919856
29.4 336 8,0.29377880184331795 0.024983005117743592 0.21848266189325913 0.02781913127091183
73.5 168 8,0.0662442396313364 0.021474495053787734 0.042303766230741655 0.01424989743137489
14.7 504 4,0.5874935995903737 0.015239158924962515 0.46728201307749856 0.0302235143004273
73.5 504 3,0.18926011264720938 0.019201655567882375 0.13828031191307194 0.018213866447602724
14.7 336 4,0.5288018433179723 0.02033200708961921 0.4176388990488375 0.03540974706182776
29.4 168 7,0.22158218125960064 0.032941161772668724 0.15951207040768317 0.030833302309437136
44.1 210 5,0.171889400921659 0.02110109348263591 0.1223660446072138 0.02235212459911066
29.4 210 8,0.24546850998463904 0.02663259590193528 0.17887885818473664 0.028490856004639995
73.5 504 5,0.1376728110599078 0.020475509611093373 0.09520901909434215 0.016435396660258
14.7 168 4,0.4278033794162827 0.036591315921118125 0.33273975241654874 0.04598765563089321
73.5 420 6,0.1152073732718894 0.019405974436072206 0.07808787912401723 0.015449651731427627
14.7 504 2,0.685163850486431 0.014069550421995357 0.5715767290461294 0.0317979931766113
73.5 504 4,0.15207373271889402 0.021918576329284848 0.10759762512399582 0.018535703316576415
14.7 630 3,0.6344598054275473 0.0165458697475166 0.5118493639736291 0.03392146835003722
14.7 420 3,0.5976190476190477 0.020002925687552225 0.4827881182163807 0.0383662641860907
29.4 504 4,0.3766641065028163 0.021565486664636233 0.2851826317135207 0.024386839795596377
14.7 168 8,0.3857526881720431 0.03286160039968744 0.2966588930878403 0.03687521217948239
44.1 168 7,0.13824884792626724 0.02335930311174432 0.09448454500577981 0.018262174754622162
14.7 630 4,0.613364055299539 0.016597761610530257 0.48701052156394103 0.02853167534425383
14.7 210 4,0.46082949308755766 0.03015842589324025 0.35966850441817616 0.041748358213049806
44.1 168 8,0.1359447004608295 0.02588394024267107 0.09147013295885388 0.01916914561616552
73.5 420 8,0.11582181259600614 0.019648252641627013 0.077634069863467 0.014116514344449224
29.4 336 3,0.3756720430107527 0.027462120865393444 0.2918430579773099 0.02887685462336735
73.5 504 2,0.3318612391193037 0.01635351628561649 0.2602885792710902 0.020768236697437423
14.7 336 5,0.5096006144393241 0.021537497270225317 0.39932999460172386 0.033199217925268684
29.4 420 8,0.3201228878648233 0.02057827151289848 0.23876143093568852 0.025790659053565954
44.1 504 4,0.2627368151561701 0.02331787902830472 0.1940901503640085 0.022537826123976826
14.7 336 7,0.48473502304147464 0.024199262363791805 0.375150269665014 0.03205252311128578
14.7 168 5,0.40956221198156684 0.03066671298656671 0.31504954090637205 0.038519290789681596
73.5 630 4,0.1693292370711726 0.02172805494327118 0.11949608197157642 0.018760298114401486
73.5 210 3,0.13502304147465438 0.020687771476520303 0.09705575176088378 0.019725686338995265
44.1 420 6,0.21313364055299544 0.023685320960229295 0.15297334946877708 0.02143267966076903
